12 items
  1.00  0.89  0.87  0.35  0.58  0.71  0.35  0.87  0.50  0.89  0.00  0.58
  0.89  1.00  0.77  0.63  0.77  0.63  0.63  0.77  0.45  1.00  0.45  0.77
  0.87  0.77  1.00  0.41  0.33  0.82  0.41  1.00  0.58  0.77  0.00  0.33
  0.35  0.63  0.41  1.00  0.41  0.50  0.50  0.41  0.00  0.63  0.71  0.82
  0.58  0.77  0.33  0.41  1.00  0.00  0.41  0.33  0.58  0.77  0.58  0.67
  0.71  0.63  0.82  0.50  0.00  1.00  0.50  0.82  0.00  0.63  0.00  0.41
  0.35  0.63  0.41  0.50  0.41  0.50  1.00  0.41  0.00  0.63  0.71  0.41
  0.87  0.77  1.00  0.41  0.33  0.82  0.41  1.00  0.58  0.77  0.00  0.33
  0.50  0.45  0.58  0.00  0.58  0.00  0.00  0.58  1.00  0.45  0.00  0.00
  0.89  1.00  0.77  0.63  0.77  0.63  0.63  0.77  0.45  1.00  0.45  0.77
  0.00  0.45  0.00  0.71  0.58  0.00  0.71  0.00  0.00  0.45  1.00  0.58
  0.58  0.77  0.33  0.82  0.67  0.41  0.41  0.33  0.00  0.77  0.58  1.00
