,CustomerID,Freq,Sale_Amount,ElapsedDays,Freq_log,SaleAmount_log,ElapsedDays_log,ClusterLabel
0,12346,1,77183.6,23,0.6931471805599453,11.253955234248428,3.1780538303479458,3
1,12347,31,711.79,65,3.4657359027997265,6.569186846877494,4.189654742026425,2
2,12348,17,892.8000000000001,56,2.8903717578961645,6.795482036499351,4.04305126783455,2
3,12356,36,2271.6200000000003,23,3.6109179126442243,7.728688629938012,3.1780538303479458,3
4,12359,16,547.5,29,2.833213344056216,6.307187279715285,3.4011973816621555,0
5,12370,90,1864.27,55,4.51085950651685,7.531161093717406,4.02535169073515,3
6,12377,43,1001.5199999999996,52,3.784189633918261,6.910272109106411,3.970291913552122,2
7,12383,68,1251.8799999999999,29,4.23410650459726,7.133200180158179,3.4011973816621555,3
8,12386,10,401.90000000000003,35,2.3978952727983707,5.998688392197302,3.58351893845611,0
9,12388,19,431.30000000000007,24,2.995732273553991,6.069119791673586,3.2188758248682006,0
10,12393,22,639.5,27,3.1354942159291497,6.4622491213367885,3.332204510175204,0
11,12395,31,679.92,55,3.4657359027997265,6.5234448249463695,4.02535169073515,2
12,12402,11,225.6,21,2.4849066497880004,5.423186348593906,3.091042453358316,0
13,12413,24,479.25000000000006,35,3.2188758248682006,6.174306801648666,3.58351893845611,0
14,12415,47,7092.979999999998,31,3.871201010907891,8.867001816045692,3.4657359027997265,3
15,12417,11,291.34,55,2.4849066497880004,5.677917508461147,4.02535169073515,2
16,12422,13,238.5,22,2.6390573296152584,5.4785534168509695,3.1354942159291497,0
17,12423,16,237.93,51,2.833213344056216,5.4761706220024395,3.9512437185814275,2
18,12427,10,303.50000000000006,69,2.3978952727983707,5.718671087149952,4.248495242049359,1
19,12429,20,1281.5000000000002,63,3.044522437723423,7.1565665770449245,4.1588830833596715,2
20,12431,23,706.4499999999999,55,3.1780538303479458,6.561666955641961,4.02535169073515,2
21,12433,147,3787.1199999999994,64,4.997212273764115,8.239625132790472,4.174387269895637,3
22,12437,7,392.7,29,2.0794415416798357,5.975589197949692,3.4011973816621555,0
23,12441,11,173.55,64,2.4849066497880004,5.162211233551045,4.174387269895637,1
24,12451,101,2919.5099999999998,22,4.624972813284271,7.9795135375457225,3.1354942159291497,3
25,12471,82,4592.41,28,4.418840607796598,8.432377946616562,3.367295829986474,3
26,12472,70,1631.3000000000009,67,4.2626798770413155,7.39774534215999,4.219507705176107,2
27,12474,13,249.4,27,2.6390573296152584,5.523059639225943,3.332204510175204,0
28,12476,2,12.45,59,1.0986122886681098,2.598979106047848,4.0943445622221,1
29,12480,42,816.2500000000002,34,3.7612001156935624,6.70594504560432,3.5553480614894135,3
30,12481,46,1394.4300000000003,34,3.8501476017100584,7.240957890485727,3.5553480614894135,3
31,12483,13,547.56,37,2.6390573296152584,6.307296662976109,3.6375861597263857,0
32,12484,98,1138.6700000000005,34,4.59511985013459,7.0384940257987365,3.5553480614894135,3
33,12489,15,334.92999999999995,34,2.772588722239781,5.816902804925467,3.5553480614894135,0
34,12490,43,864.2199999999999,27,3.784189633918261,6.762983809854266,3.332204510175204,3
35,12494,4,62.55,56,1.6094379124341003,4.151826997635463,4.04305126783455,1
36,12500,5,344.93999999999994,31,1.791759469228055,5.846265349615777,3.4657359027997265,0
37,12501,149,2169.3899999999994,34,5.0106352940962555,7.682662153888475,3.5553480614894135,3
38,12510,29,681.0500000000001,23,3.4011973816621555,6.525102968939129,3.1780538303479458,3
39,12515,16,383.7,51,2.833213344056216,5.95246380975825,3.9512437185814275,2
40,12523,7,102.95,29,2.0794415416798357,4.643910014304022,3.4011973816621555,0
41,12524,16,337.39,31,2.833213344056216,5.824199076468011,3.4657359027997265,0
42,12527,10,132.52,23,2.3978952727983707,4.89425127935358,3.1780538303479458,0
43,12530,13,387.4,34,2.6390573296152584,5.96203573641717,3.5553480614894135,0
44,12539,93,1715.8500000000004,31,4.543294782270004,7.448246495403878,3.4657359027997265,3
